[2B2T Anime Club] | [bruce] | [Eddy-Arch#1169] @ 2020-07-11 11:35:59.305000: +guess 10
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:00.536000: discord.gg/ikEWud
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:00.871000: discord.gg/DXS5r5
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:01.209000: discord.gg/3Vfujd
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:01.537000: discord.gg/6tZYaU
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:01.946000: discord.gg/9kW14O
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:06.291000: discord.gg/BqKvf7
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:06.659000: discord.gg/nS9roL
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:07.030000: discord.gg/vqiDDT
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:07.390000: discord.gg/eoOseS
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:07.728000: discord.gg/FbC1fL
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:13.043000: discord.gg/i4rGEB
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:13.249000: discord.gg/abtmbr
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:13.688000: discord.gg/MWwntZ
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:13.932000: discord.gg/r9LiNw
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:14.268000: discord.gg/PfBPn5
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:19.605000: discord.gg/vD8APy
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:19.900000: discord.gg/fkOsZ8
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:20.114000: discord.gg/M8dyMN
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:20.449000: discord.gg/eBU1V1
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:36:20.867000: discord.gg/MsVzym
[2B2T Anime Club] | [bruce] | [Eddy-Arch#1169] @ 2020-07-11 11:37:10.998000: gg
[2B2T Anime Club] | [bruce] | [Eddy-Arch#1169] @ 2020-07-11 11:37:15.325000: +guess 4
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:15.734000: discord.gg/rQwZkR
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:16.217000: discord.gg/8aNJVb
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:16.842000: discord.gg/dCCJ4A
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:17.373000: discord.gg/pG8uEY
[2B2T Anime Club] | [bruce] | [Eddy-Arch#1169] @ 2020-07-11 11:37:26.768000: +guess 200
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:26.995000: discord.gg/YlSDUh
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:27.590000: discord.gg/2VDNPS
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:28.053000: discord.gg/ucqpE5
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:28.352000: discord.gg/RUO7XS
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:28.832000: discord.gg/G2LrCo
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:33.127000: discord.gg/XpTrFi
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:33.535000: discord.gg/w4BtTZ
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:33.854000: discord.gg/FhTb9v
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:34.245000: discord.gg/huWjyR
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:34.635000: discord.gg/qdIjNq
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:40.073000: discord.gg/EwwzTZ
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:40.496000: discord.gg/4VUMfW
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:40.893000: discord.gg/9D4xBb
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:41.287000: discord.gg/n64bP1
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:41.643000: discord.gg/qCsU8Y
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:46.912000: discord.gg/xbrkzZ
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:47.239000: discord.gg/JBiDpK
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:47.621000: discord.gg/Qc4mC9
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:47.917000: discord.gg/Sxpmcq
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:48.361000: discord.gg/oHXLSM
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:52.587000: discord.gg/fbj74m
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:52.805000: discord.gg/2nhorE
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:53.321000: discord.gg/Pdmjxz
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:53.717000: discord.gg/LOkqgJ
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:54.121000: discord.gg/NnXXqh
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:58.325000: discord.gg/C1tjHh
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:58.788000: discord.gg/trwKfo
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:37:59.381000: discord.gg/rE6FB2
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:38:00.034000: discord.gg/K9d9GK
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:38:00.385000: discord.gg/UntBgU
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:38:04.662000: discord.gg/mh1r8v
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:38:05.213000: discord.gg/UwQAM4
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:38:05.697000: discord.gg/kRj5nS
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:38:06.081000: discord.gg/h3gkyk
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:38:06.522000: discord.gg/v7Nut1
[2B2T Anime Club] | [bruce] | [bruce#0158] @ 2020-07-11 11:38:10.755000: discord.gg/MtRf9L
